"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Eastern Africa","Africa - Inland waters","Brackishwater","Tilapias and other cichlids","Tilapias and other cichlids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","2","","3","","3","","3","F","5","F","5","F","4","F","2","F","0","0","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0","."
"Eastern Africa","Africa - Inland waters","Freshwater","Freshwater crustaceans","Freshwater crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","5","","15","","18","","28","","35","","32","","33","","43","","49","","75","","70","","68","","57","","57","","63","","50","","72","","62","","67","","49","","34","","34","","42","","23","","29","","12","","8","","10","","5","","6","","4","","4","","3","","3","","2.8","","3.3","","0.5","","0.09","","0.02","","0.32","","0","-"
"Eastern Africa","Africa - Inland waters","Freshwater","Carps, barbels and other cyprinids","Carps, barbels and other cyprinids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","4","F","9","F","13","F","27","F","54","F","94","F","128","F","169","F","222","","250","","193","","215","","326","","450","F","622","","580","","2074","","2029","","3455","","3856","","3111","","6521","","2318","","2677","F","2873","F","2897","","2846","","2893","","2751","","2819.15","","2917.2","","3263.2","F","3368.25","F","3353.5","F","3834.3","F","4974.5","","4950.5","","4883","F","4537.88","F","4332.2","","3517.6","","4126.7","","718.99","F"
"Eastern Africa","Africa - Inland waters","Freshwater","Miscellaneous freshwater fishes","Miscellaneous freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","F","12","F","24","F","37","F","48","F","61","F","71","F","60","F","107","F","107","F","109","F","109","F","139","F","138","F","202","F","230","F","277","F","271","F","276","F","358","F","220","","301","F","241","","275","","878","","2962","","3340","","4211","","6894","","21314","","35064","","36016","F","56137.7","","65574","F","61660.7","","47740","","54135.2","","62461.24","","63918","","46064.99","","41957.5","","40273",""
"Eastern Africa","Africa - Inland waters","Freshwater","Tilapias and other cichlids","Tilapias and other cichlids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","2","F","6","F","27","F","56","F","96","F","120","F","150","F","182","F","277","","457","","616","","718","","1076","","1508","","1606","","2226","F","2584","F","3457","F","4562","F","5335","","5367","F","4959","","5479","","5442","F","4797","","6694","F","8020","F","9856","","11123","","11698","","11489","","13466","","21294","","30027","","30387","F","38083.8","","56721.4","F","66302.23","","96488.88","","105049","","112634.48","","117526.3","","134842.9","","145149.3","","145121.8",""
"Eastern Africa","Africa - Inland waters","Freshwater","River eels","River eels","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","F","30","F","30","F","40","F","10","","10","F","20.21","","0",".","0",".","14.617",""
"Eastern Africa","Africa - Inland waters","Freshwater","Salmons, trouts, smelts","Salmons, trouts, smelts","180","F","200","F","200","F","250","F","270","F","300","F","320","F","350","F","370","F","350","F","380","F","410","F","360","F","380","F","430","F","399","F","370","F","360","F","317","F","293","F","240","F","220","F","172","F","192","F","182","F","181","F","180","F","160","F","170","F","175","F","165","F","155","F","147","","182","","176","","198","","210","","193","","412","","419","","411","","377","","358","","376","","575","","508","","129","F","164","F","161","F","191","","278","","393","","218","","129","","128","","144","","144","","163","F","156","F","163","F","288","","372.1","","407","","504.3","","455.46","","383.5","","958.4","","771","","855","F"
"Eastern Africa","Indian Ocean","Brackishwater","Crabs, sea-spiders","Crabs, sea-spiders","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","1","F","6","F","6","F","7","F","10","","5.25","F","5","F","5.1","F","5.2","F","5.2","F","2.4","","2","","1.02",""
"Eastern Africa","Indian Ocean","Brackishwater","Shrimps, prawns","Shrimps, prawns","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","30","F","40","F","40","F","10","F","0","-","59","","32","","202","","108","","231","","290","","270","","285","","391","","248","","345","","450","","371.7",""
"Eastern Africa","Indian Ocean","Brackishwater","Miscellaneous diadromous fishes","Miscellaneous diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","F","2","F","2","F","2","F","2","F","10","","8.5","","137","","231.188","","209.772","","222.593","","235.939","","403.481","","345.62","","355.693",""
