"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Eastern Africa","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","2","","3","","3","","3","F","5","F","5","F","4","F","2","F","0","0","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0","."
"Eastern Africa","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","5","","15","","18","","28","","35","","32","","33","","43","","49","","75","","70","","68","","57","","57","","63","","50","","72","","62","","67","","49","","34","","34","","42","","23","","29","","12","","8","","10","","5","","6","","4","","4","","3","","3","","2.8","","3.3","","0.5","","0.09","","0.02","","0.32","","0","-"
"Eastern Africa","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","2","F","6","F","31","F","66","F","121","F","171","F","241","F","324","F","466","F","697","","898","","1075","","1376","","1832","","2041","","2815","F","3344","F","4239","F","6866","F","7641","","9093","F","9091","","8948","","12183","","7416","","9612","F","11168","F","13631","","16931","","17931","","18451","","23179.15","","45525.2","","68354.2","","69771.25","F","97575","","126129.7","F","132937.43","","149179.38","","164067.2","","179633.6","","185776.5","","184425.49","","191233.5","","186113.79",""
"Eastern Africa","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","180","F","200","F","200","F","250","F","270","F","300","F","320","F","350","F","370","F","350","F","380","F","410","F","360","F","380","F","430","F","399","F","370","F","360","F","317","F","293","F","240","F","220","F","172","F","192","F","182","F","181","F","180","F","160","F","170","F","175","F","165","F","155","F","147","","182","","176","","198","","210","","193","","412","","419","","411","","377","","358","","376","","575","","508","","129","F","164","F","161","F","191","","278","","393","","218","","129","","128","","144","","144","","163","F","156","F","183","F","318","","402.1","","447","","514.3","","465.46","","403.71","","958.4","","771","","869.617","F"
"Eastern Africa","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","30","F","40","F","40","F","10","F","0","0","60","","38","","208","","115","","241","","295.25","","275","","290.1","","396.2","","253.2","","347.4","","452","","372.72",""
"Eastern Africa","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","F","2","F","2","F","2","F","2","F","10","","8.5","","137","","231.188","","209.772","","222.593","","235.939","","403.481","","345.62","","355.693",""
"Eastern Africa","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","17","","17","","17","","20","","15","","7","","16","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eastern Africa","Marine areas","Brackishwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","3","","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Eastern Africa","Marine areas","Brackishwater","Miscellaneous aquatic animals","Miscellaneous aquatic animals","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","8","","33","","31","","30","","29","","30","","30","","30","","38","","30","","30","","20","","10","","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eastern Africa","Marine areas","Marine","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","3","","4","","6","","5","","4","","59","F","255","","224","","204","","1000","","676","","1739","","2711","","3066","","3146","","3716","","5226","","5683","","8148","","8425","","7849","","8606","","10164","","9519","","8892","","3635.2","","4668","F","5912.2","","4991.7","","5373","","4692","","3448","","4140","","5440","","4948.05",""
