"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Africa","Inland waters","Brackishwater","Giant river prawn","Macrobrachium rosenbergii","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","5","","6","","7","","3","","3","","2","","2","F","6","","10","","11","","20","","25","","21","","20","F","50","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","Cyprinids nei","Cyprinidae","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","87674","","114465","","84706","","99929","","61806","","62270","","80000","F","85000","F","21700","F","123800","F","52000","F","30000","F","70000","F","64500","F","67000","F"
"Africa","Inland waters","Brackishwater","Grass carp(=White amur)","Ctenopharyngodon idellus","0","-","0","-","0","-","0","-","0","-","50","F","100","F","200","F","300","F","400","F","400","F","600","F","600","F","800","F","1000","F","1000","F","900","F","800","F","800","F","900","F","900","F","1000","F","1150","F","1200","F","1200","F","1200","F","1500","F","1750","F","2000","F","2250","F","2500","F","2750","F","3450","F","3500","F","3000","","5000","","5000","","5000","","6000","","6000","","6000","","7300","","7300","","2890","","2500","","11668","","17475","","27646","","38320","","51323","","66231","","72422","","75885","","88277","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","Bagrid catfish","Chrysichthys nigrodigitatus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","6","F","11","F","18","F","27","F","39","F","47","F","56","F","68","F","81","F","98","F","121","","187","","334","","305","","265","","263","F","456","","1059","","822","","833","F","703","F","850","F","19","","115","","220","","257","","96","","83","","0",".","60","","60","","60","F","60","F","20","","20","F","20","F","35","","68","F","70","","70","","70","F","70","F","33","","50","F","50","F"
"Africa","Inland waters","Brackishwater","Black catfishes nei","Chrysichthys spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","58","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Africa","Inland waters","Brackishwater","Freshwater fishes nei","Osteichthyes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","7","","0","-","0","-","13","","2","","86","","105","F","102","F","3","F","3","F","3","F","0","-","0","-","0","-","72","","95","","88","","86","","437","","156","","307","","489.19","","432.345","","792.108","","758.82","","684.87","","732.61","","740.08","","367.03","","672","","807","","0","-"
"Africa","Inland waters","Brackishwater","Freshwater siluroids nei","Siluroidei","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0","1","","49","","6","","37","","70","","80","","0",".","72","","81","","100","","100","","100","F","60","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","Nile perch","Lates niloticus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","3","","17","","7","","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","North African catfish","Clarias gariepinus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","656","","228","","232","","299","","9978","","5856","","5195","","8324","","8191","","4000","F","6000","F","6300","F","6000","F","3509","F","1455","F","1627","F","2749","F","1836","F"
"Africa","Inland waters","Brackishwater","Torpedo-shaped catfishes nei","Clarias spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","20","","0","0","0","0","0","0","0","-","0","-","0","-","0","-","32","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
